,F- 1,F- 2,F- 3,F- 4,F- 5,F- 6,F- 7,F- 8,F- 9,F- 10,mean,std
expl_var,0.1961907950630628,0.19092451593517556,0.19215457684220882,0.2004212160679788,0.17928409369317744,0.211236000972706,0.186054702721845,0.17786326646192507,0.13258616209628582,0.1329471886046144,0.17996625184589798,0.02534896393654046
mae,0.4051486483845616,0.39458648412461267,0.3898456029226737,0.3887272900399473,0.38601500825246765,0.3816790069814257,0.3880438239712833,0.3862768886561588,0.38857394874772483,0.40239259611446,0.39112892981953157,0.007055731823399372
mse,0.2396290073787413,0.23269400594032932,0.22653725396809452,0.22627915057293982,0.22387493866126829,0.2187573717201709,0.22486670193615754,0.2375742527501336,0.24126543231366274,0.25831690715381384,0.2329795022395312,0.011015565180421863
rmse,0.48951915935818213,0.4823836708889816,0.4759592986465277,0.47568808117603684,0.4731542440486699,0.4677150539807019,0.4742011197120453,0.48741589300117577,0.49118777704016897,0.5082488634063177,0.48254731612588087,0.011295571665057978
r2,0.17171378054382125,0.17784147973255626,0.18291236095550234,0.1950395336868499,0.17371477456254225,0.2088229986137098,0.18175647097456427,0.15340777739653721,0.07927770703977144,0.07408646251826234,0.1598573346024117,0.043810819316129755
