,F- 1,F- 2,F- 3,F- 4,F- 5,F- 6,F- 7,F- 8,F- 9,F- 10,mean,std
expl_var,0.20565557470898566,0.23044736480069838,0.24148789668632376,0.24235753622847478,0.22697542586439856,0.2553996122817097,0.2359732149990833,0.2291665797290161,0.17230477395938293,0.17617163683818537,0.22159396160962586,0.026622942857276965
mae,0.3980542985801032,0.38032936910104215,0.37423848644963187,0.373989433952554,0.3702090676889513,0.3674557447317594,0.37177492798686396,0.3730861411016116,0.37440054671879625,0.38609199857312604,0.37696300148844397,0.008604038575807646
mse,0.2354856403413054,0.2204769587533097,0.21204855240423098,0.21397641084176436,0.21035848921651065,0.2062528442960038,0.21065296447923026,0.21921166038150833,0.22237927514873176,0.2363825819409587,0.21872253778035539,0.009834653569018971
rmse,0.4852686269905622,0.4695497404464299,0.46048729885223866,0.46257584334005636,0.4586485465108449,0.45415068457066515,0.4589694592009693,0.46820044893347584,0.4715710711533647,0.48619191883551366,0.467561363883412,0.010435937132759806
r2,0.18603547663895603,0.2210069639345571,0.23517104576901604,0.23880502903125667,0.22360174513352649,0.25404796375847494,0.23347732869719484,0.21884259495846303,0.15135146316533044,0.1527080629155465,0.21150476740023222,0.0340774758254269
